Ward No,SubWard,Locality Names
81,,"Chinnappa Colony, ITI Employees Housing Colony, A Narayanapura Extension, Mahadevapura, DRDO’s 2nd Phase, Vijnanagar, Ramaiah Reddy Colony, L N Reddy Colony, Veerabadra Colony, Kalappa Layout, Basavanagar, Vibhuthipura, Talacauverynagar, Veerabhadranagar 2nd Stage, Lal Bhadur Shastrynagar, Jagadishnagar, Jyothinagar, Brudavan Nagar."
,,
,,
,,
82,,"Mahadevapura, Maheshswari Nagar, Kaveri nagar, RHB Colony, Purvankara Layout, Garudachar playa, Muniswamappa Layout, KSSIDC Industrial Estate, KEB colony, Maruthi Industrial Estate,  Siddaramapalya, Basavanna Nagar, Shetty Layout, KIADB Export promotion industrial area, Whitefield (P), Panatthur Agrahara, Hudi (P), Maruthi Nagar, Prashanth Extention, Ambedkar Nagar, Mythri Extention, Mythri Layout, Sherno Ltd Colony, Alembic Glass Colony."
,,
,,
,,
83,,"Nagagondahalli, Channasandra, Kadugodi Plantation, Maruthopu, Kadugodi, Subbanna extension, Vijayalakshmi colony, Siddarth Layout, Patallama layout, VR reddy colony Muniswamy layout, Sri Sai layout, FCI  Staff Quarters, FCI, Nanjappa Reddy layout, AK  Gopalan colony, Kadugodi Industrial Area, Kadugodi Colony, Police Quarters, VS reddy Colony"
,,
,,
,,
84,,"Siddapura, Nallurhalli, Nallurhalli Kere, Dodsworth Layout, Whitefield (P), ECC Layout,  Hagadur, Ramagondanahalli, Narayanapura, Kodi, Vijayanagar, Gandhipuram, Vinayaka Layout, Sathya sai layout, D Souja layout, Byrappa layout, Hagadur colony, Vinayakanagar, Immadahalli."
,,
,,
,,
85,,"Ashreya Layout, Dodda Nekkundi Induastrial Eastate, Vishveshwaraiah Industrial estate, ferns City, Dodda Nekkundi, Dodda Nekkundi kere, Chinnappa Reddy layout, HAL East Extention, Jawaharnagar Sector 4, Sanjay nagar, Ram Anjaneya Layout, Anand Layout, Chinnappanahalli East, Hemanth Nagar ( Chinnappanahalli Ext), Anand nagar, ISRO Layout, Karthik Nagar, LRDE Employees Housing Colony, NC Munireddy Layout, Dodda Nekkundi Ext,  Hanumareddy Layout, Channappanahalli, AECS Layout. A,B,C,D,E Blocks, Kundalahalli Colony, Kundalahalli, Kundalahalli kere, Annayareddy Layout."
,,
,,
,,
86,,"Challaghatta, Belur Nagasandra, Challaghattapura, Ambedkar Colony (Belur Nagasandra), Belandur kere, BWSSB Staff Quarters, Kempapura, Yemalur, Marattahalli, Marattahalli extension, Ashwath Nagar ."
,,
,,
,,
87,,"Jagadish Nagar, Nellurupuram, Vimanapura, HAL Layout, Islampur, Annasandrapalya, Krishna nagar, Vinayak nagar, Ramesh nagar, HAL Airport."
,,
,,
,,
88,," HAL 1st and 2nd stage (P), Kodihalli, Shivalingaya Colony, Anandapuram, Jeevanbhima Nagar, Sudham Nagar."
,,
,,
,,
89,,"Linagayanapalya, Jogapalya, Saraswatipura, G Street Laxamma Layout, Ulsoor (p), Nandanavanam Streets, Doddayya Layout, Someswarapura Layout (p), Motappa Palya, Appareddy Palya, Shammana layout."
,,
,,
,,
90,,"Ulsoor, Gupta Layout, Ulsoor lake, Sivan chetty garden spot."
,,
,,
,,
91,,"Bharathi Nagar, Sivan Chetty Garden, Tandaram Nagar,"
,,
,,
,,
92,,"Sultan Nagar, Old Karacha Palya, Shivaji Nagar (P)"
,,
,,
,,
93,,"Kumarapark East, Vasanth Nagar, RV Layout, Annayappa block, Kaverappa Layout,"
,,
,,
,,
94,,"Seshadripuram, Ramakrishna Layout, Nehru Nagar, VV Giri Colony, Bangalore City, Kempegowda bus Stand, RK Puram, Gandhinagar, Upparpet"
,,
,,
,,
95,,"Jai Bhimanagar Slum, Swatantra Nagra, PNR nagar, Srirampuram, Vivekanada Nagar, Hanumanthappa colony, Shastri Nagar, Railway station, Subhash Nagar"
,,
,,
,,
96,,"Ramachandrapura, Hanumanthapura, Okalipuram, Kasturi Nagar"
,,
,,
,,
97,,"Yarappa Block, Ambedkar Nagar, Venkateshwra AK Colony, Ramakrishna Seva Nagar, Dayananda Nagar."
,,
,,
,,
98,,Prakashnagar
,,
,,
,,
99,,"Adaranha Layout, Indira Nagar, Manjunath Nagar, Basaveshwara Nagar, KEB Quaters, Rajajinagar 2nd block"
,,
,,
,,
100,,"LIC colony, Manjunath Nagar 3rd stage, Saneguruvanahalli, Basaveshwara Nagar (P)"
,,
,,
,,
101,,"BEML Layout, West of Chord Road I Stage, Meenakshi Nagar, Cauvery Nagar, KHB Colony, AK Colony, Ashtagrama"
,,
,,
,,
102,,"Kamala Nagar, Channigappa Layout, Sanakki Bayalu, Vrishabha Nagar, Vinayaka Nagar, Kamakshipalya, Maruthi Nagar."
,,
,,
,,
